date,day,weather,student_count,event,food_prepared_kg,food_consumed_kg,waste_kg,meal_type,menu_complexity,crowd_density,cost_per_kg,total_food_cost,waste_cost
2023-03-15,Wednesday,Sunny,313,,180.86,152.04,28.82,Breakfast,Complex,0.8942857142857142,44.70773581127454,8085.8410988271135,1288.4769460809323
2023-03-16,Thursday,Cloudy,364,Seminar,148.23,122.39,25.84,Dinner,Simple,1.04,88.84498346139029,13169.491898481881,2295.754372642325
2023-03-17,Friday,Cloudy,410,Fest,243.06,216.39,26.67,Dinner,Complex,1.1714285714285715,79.98736491533768,19441.728916321976,2133.263022292056
2023-03-18,Saturday,Sunny,327,Sports Day,186.18,174.22,11.96,Dinner,Simple,0.9342857142857143,99.22660470671096,18474.009264295448,1186.7501922922631
2023-03-19,Sunday,Sunny,343,Seminar,170.62,158.42,12.2,Lunch,Medium,0.98,82.27966756790909,14038.556880436648,1003.8119443284908
2023-03-20,Monday,Sunny,226,Seminar,119.77,106.65,13.12,Dinner,Simple,0.6457142857142857,75.03343938815092,8986.755035518836,984.43872477254
2023-03-21,Tuesday,Rainy,198,,94.42,85.14,9.28,Dinner,Simple,0.5657142857142857,99.04751915647174,9352.066758754061,919.1609777720577
2023-03-22,Wednesday,Humid,345,Seminar,158.74,120.77,37.97,Breakfast,Simple,0.9857142857142858,44.898679683466256,7127.216412953434,1704.8028675812136
2023-03-23,Thursday,Sunny,391,Fest,189.06,151.74,37.32,Dinner,Simple,1.1171428571428572,105.39513645593013,19926.00449835815,3933.3464925353123
2023-03-24,Friday,Cloudy,290,,133.78,100.71,33.07,Breakfast,Simple,0.8285714285714286,43.065739903642296,5761.334684309267,1424.1840186134507
2023-03-25,Saturday,Rainy,321,Seminar,145.54,136.18,9.36,Breakfast,Complex,0.9171428571428571,42.82276523669263,6232.425252548245,400.821082615443
2023-03-26,Sunday,Rainy,230,Fest,102.97,81.94,21.03,Dinner,Simple,0.6571428571428571,73.19423922718563,7536.810813223305,1539.274850947714
2023-03-27,Monday,Cloudy,355,Sports Day,163.72,150.58,13.14,Lunch,Medium,1.0142857142857142,83.69357070342446,13702.311395564651,1099.7335190429974
2023-03-28,Tuesday,Humid,366,Seminar,179.74,144.95,34.8,Breakfast,Simple,1.0457142857142858,46.73765923955217,8400.626871717108,1626.4705415364156
2023-03-29,Wednesday,Humid,283,Seminar,167.66,151.53,16.13,Breakfast,Simple,0.8085714285714286,37.66617663463725,6315.111174563282,607.5554291166989
2023-03-30,Thursday,Humid,389,Seminar,158.42,120.34,38.08,Dinner,Simple,1.1114285714285714,102.4581353674768,16231.417804915673,3901.6057947935165
2023-03-31,Friday,Rainy,348,Sports Day,177.88,147.03,30.86,Breakfast,Simple,0.9942857142857143,38.449096770991964,6839.3253336240505,1186.539126352812
2023-04-01,Saturday,Cloudy,288,,120.68,110.23,10.45,Breakfast,Simple,0.8228571428571428,47.463610711337296,5727.908540644185,495.9947319334747
2023-04-02,Sunday,Humid,381,Sports Day,221.63,207.94,13.69,Dinner,Medium,1.0885714285714285,76.98293860638601,17061.72868333333,1053.8964295214246
2023-04-03,Monday,Cloudy,225,,105.96,94.59,11.37,Lunch,Medium,0.6428571428571429,88.45102307549253,9372.270405079187,1005.68813236835
2023-04-04,Tuesday,Sunny,263,,134.71,125.66,9.05,Lunch,Medium,0.7514285714285714,63.36013939095329,8535.244377355319,573.4092614881273
2023-04-05,Wednesday,Cloudy,180,,85.07,73.27,11.8,Dinner,Simple,0.5142857142857142,75.19253427179841,6396.62889050189,887.2719044072213
2023-04-06,Thursday,Rainy,282,Seminar,114.38,95.14,19.24,Breakfast,Medium,0.8057142857142857,47.06880938463246,5383.73041741426,905.6038925603284
2023-04-07,Friday,Humid,258,Sports Day,108.87,101.54,7.33,Lunch,Simple,0.7371428571428571,79.72991956666422,8680.196343222735,584.4203104236487
2023-04-08,Saturday,Rainy,300,Sports Day,174.05,137.86,36.19,Breakfast,Complex,0.8571428571428571,36.151498877591926,6292.168379644875,1308.3227443800517
2023-04-09,Sunday,Rainy,285,Fest,132.0,119.3,12.71,Lunch,Medium,0.8142857142857143,80.48473165466027,10623.984578415155,1022.960939330732
2023-04-10,Monday,Humid,386,Seminar,210.48,188.08,22.4,Lunch,Complex,1.1028571428571428,68.29342138514419,14374.399333145147,1529.7726390272296
2023-04-11,Tuesday,Humid,241,Fest,129.45,114.29,15.16,Dinner,Simple,0.6885714285714286,85.46489528303982,11063.430694389504,1295.6478124908838
2023-04-12,Wednesday,Rainy,362,Sports Day,180.5,150.45,30.05,Lunch,Complex,1.0342857142857143,76.83070145037658,13867.941611792972,2308.7625785838163
2023-04-13,Thursday,Sunny,247,Seminar,134.8,118.27,16.53,Lunch,Complex,0.7057142857142857,88.96775501547056,11992.853376085432,1470.6369904057285
2023-04-14,Friday,Rainy,367,Seminar,217.7,187.99,29.71,Dinner,Simple,1.0485714285714285,89.68559559643184,19524.55416134321,2664.55904516999
2023-04-15,Saturday,Rainy,239,Seminar,122.34,109.0,13.34,Dinner,Medium,0.6828571428571428,70.44998139832562,8618.850724271157,939.8027518536637
2023-04-16,Sunday,Rainy,262,,140.15,132.59,7.56,Dinner,Medium,0.7485714285714286,101.8721026339973,14277.375184154722,770.1530959130196
2023-04-17,Monday,Cloudy,254,Seminar,139.25,121.91,17.33,Lunch,Medium,0.7257142857142858,75.2590448269004,10479.821992145882,1304.239246850184
2023-04-18,Tuesday,Sunny,360,Sports Day,190.11,178.29,11.82,Breakfast,Medium,1.0285714285714285,43.258512942435104,8223.875895486339,511.31562297958294
2023-04-19,Wednesday,Rainy,329,Sports Day,187.49,164.95,22.53,Lunch,Simple,0.94,74.39380114966248,13948.093777550219,1676.0923399018957
2023-04-20,Thursday,Humid,267,Sports Day,112.19,93.82,18.37,Dinner,Complex,0.7628571428571429,98.30136533138662,11028.430176528265,1805.7960811375724
2023-04-21,Friday,Humid,244,,144.59,111.1,33.48,Lunch,Medium,0.6971428571428572,88.62809098658147,12814.735675749815,2967.2684862307474
2023-04-22,Saturday,Rainy,258,Sports Day,134.05,107.04,27.01,Dinner,Medium,0.7371428571428571,72.33782524806206,9696.88547450272,1953.8446599501563
2023-04-23,Sunday,Cloudy,252,Sports Day,101.64,88.52,13.13,Dinner,Medium,0.72,84.1535065484908,8553.362405588605,1104.9355409816842
2023-04-24,Monday,Humid,246,Fest,100.17,85.83,14.34,Breakfast,Medium,0.7028571428571428,48.252382961004514,4833.441201203822,691.9391716608047
2023-04-25,Tuesday,Cloudy,291,Seminar,134.26,116.52,17.74,Dinner,Medium,0.8314285714285714,103.02220287601017,13831.760958133123,1827.6138790204202
2023-04-26,Wednesday,Humid,245,Fest,119.6,90.88,28.72,Dinner,Complex,0.7,88.49126699597669,10583.555532718812,2541.4691881244503
2023-04-27,Thursday,Humid,327,Seminar,143.1,130.05,13.05,Lunch,Medium,0.9342857142857143,85.0930198136769,12176.811135337164,1110.4639085684837
2023-04-28,Friday,Rainy,204,Seminar,103.12,87.55,15.57,Dinner,Complex,0.5828571428571429,97.89563097932586,10094.997466588084,1524.2349743481036
2023-04-29,Saturday,Cloudy,313,,174.13,146.08,28.04,Dinner,Simple,0.8942857142857142,104.62424061735388,18218.21901869983,2933.6637069106027
2023-04-30,Sunday,Cloudy,307,Sports Day,171.45,155.95,15.5,Breakfast,Complex,0.8771428571428571,36.881235770833875,6323.287872909467,571.6591544479251
2023-05-01,Monday,Sunny,355,Sports Day,201.41,180.51,20.9,Breakfast,Complex,1.0142857142857142,42.39552637829148,8538.882967851687,886.0665013062918
2023-05-02,Tuesday,Sunny,190,,85.87,76.84,9.04,Dinner,Medium,0.5428571428571428,105.51230721664619,9060.34182069341,953.8312572384815
2023-05-03,Wednesday,Humid,315,Fest,136.48,105.18,31.3,Breakfast,Complex,0.9,46.28693087777536,6317.240326198781,1448.780936474369
2023-05-04,Thursday,Humid,196,Sports Day,112.4,104.31,8.09,Dinner,Medium,0.56,101.26332185619192,11381.997376635973,819.2202738165927
2023-05-05,Friday,Sunny,347,Fest,182.36,157.49,24.86,Breakfast,Complex,0.9914285714285714,40.60639975600558,7404.983059505178,1009.4750979342987
2023-05-06,Saturday,Rainy,397,Fest,196.64,161.36,35.27,Lunch,Complex,1.1342857142857143,81.9467621819872,16114.011315465961,2890.2623021586887
2023-05-07,Sunday,Humid,270,,133.96,100.98,32.98,Breakfast,Complex,0.7714285714285715,36.49523626979595,4888.901850701866,1203.6128921778704
2023-05-08,Monday,Humid,311,Sports Day,125.59,111.33,14.26,Lunch,Simple,0.8885714285714286,63.152761469460856,7931.3553129495895,900.5583785545118
2023-05-09,Tuesday,Rainy,243,Fest,120.89,114.78,6.11,Breakfast,Medium,0.6942857142857143,38.793424921357726,4689.737138742936,237.0278262694957
2023-05-10,Wednesday,Humid,201,,101.96,85.12,16.84,Breakfast,Simple,0.5742857142857143,46.71281207147061,4762.838318807143,786.643755283565
2023-05-11,Thursday,Humid,384,Sports Day,161.68,124.03,37.65,Lunch,Complex,1.0971428571428572,89.24586220497332,14429.271001300087,3360.1067120172456
2023-05-12,Friday,Sunny,362,Sports Day,173.83,162.03,11.81,Breakfast,Simple,1.0342857142857143,39.254155629982804,6823.549873159912,463.59157799009694
2023-05-13,Saturday,Humid,188,Seminar,78.07,61.77,16.3,Breakfast,Medium,0.5371428571428571,47.51661980998628,3709.622508565629,774.5209029027765
2023-05-14,Sunday,Sunny,365,Sports Day,213.68,172.44,41.24,Dinner,Simple,1.042857142857143,73.9910245642695,15810.402128893105,3051.389853030474
2023-05-15,Monday,Cloudy,243,,130.22,110.57,19.65,Dinner,Complex,0.6942857142857143,104.32683079634202,13585.439906299658,2050.0222251481205
2023-05-16,Tuesday,Sunny,208,Seminar,115.66,95.97,19.69,Breakfast,Simple,0.5942857142857143,38.53733221087659,4457.227843509986,758.8000712321601
2023-05-17,Wednesday,Sunny,273,Sports Day,153.28,124.79,28.49,Dinner,Medium,0.78,109.51441825365853,16786.37002992078,3120.0657760467316
2023-05-18,Thursday,Sunny,293,,161.76,122.3,39.46,Breakfast,Simple,0.8371428571428572,49.735017584955855,8045.136444542459,1962.5437939023582
2023-05-19,Friday,Cloudy,294,Sports Day,121.84,109.39,12.45,Dinner,Simple,0.84,104.27890658871257,12705.34197876874,1298.2723870294715
2023-05-20,Saturday,Humid,384,Seminar,181.91,172.71,9.21,Lunch,Complex,1.0971428571428572,82.9085352718351,15081.891651299524,763.5876098536014
2023-05-21,Sunday,Humid,283,Seminar,134.31,121.15,13.16,Breakfast,Simple,0.8085714285714286,38.91120516728617,5226.163966018205,512.071460001486
2023-05-22,Monday,Sunny,220,Sports Day,88.61,84.15,4.46,Lunch,Complex,0.6285714285714286,69.14371834970883,6126.8248829676995,308.3809838397014
2023-05-23,Tuesday,Humid,285,,133.76,123.77,9.99,Dinner,Simple,0.8142857142857143,94.09902210995371,12586.685197427407,940.0492308784376
2023-05-24,Wednesday,Humid,208,Seminar,86.68,77.65,9.03,Dinner,Complex,0.5942857142857143,77.89670882424105,6752.086720885214,703.4072806828966
2023-05-25,Thursday,Sunny,210,Sports Day,103.18,80.96,22.23,Dinner,Complex,0.6,74.62157777085551,7699.454394396872,1658.837673846118
2023-05-26,Friday,Cloudy,228,Seminar,101.58,79.91,21.66,Breakfast,Medium,0.6514285714285715,45.68262277429558,4640.440821412945,989.4856092912423
2023-05-27,Saturday,Sunny,302,Seminar,180.21,135.31,44.9,Dinner,Simple,0.8628571428571429,108.13644216126464,19487.268241881502,4855.326253040782
2023-05-28,Sunday,Cloudy,238,,98.7,93.32,5.38,Lunch,Medium,0.68,86.13107141535424,8501.136748695464,463.3851642146058
2023-05-29,Monday,Sunny,252,Sports Day,121.34,103.14,18.21,Breakfast,Simple,0.72,39.278753965001144,4766.0840061132385,715.2661097026709
2023-05-30,Tuesday,Humid,318,Fest,142.33,129.54,12.79,Breakfast,Medium,0.9085714285714286,43.126194104397776,6138.151206878936,551.5840225952475
2023-05-31,Wednesday,Humid,300,Sports Day,167.23,148.54,18.68,Dinner,Simple,0.8571428571428571,75.52738251943742,12630.44417872552,1410.8515054630911
2023-06-01,Thursday,Cloudy,245,Sports Day,109.37,91.44,17.93,Dinner,Medium,0.7,108.57714817313816,11875.082695696121,1946.788266744367
2023-06-02,Friday,Humid,215,Fest,116.9,105.17,11.73,Lunch,Simple,0.6142857142857143,88.36171686489604,10329.484701506348,1036.4829388252306
2023-06-03,Saturday,Rainy,307,Seminar,180.67,140.62,40.05,Lunch,Simple,0.8771428571428571,78.00497590657959,14093.158997041734,3124.099285058512
2023-06-04,Sunday,Humid,262,Fest,140.3,113.06,27.24,Breakfast,Simple,0.7485714285714286,43.32994506544537,6079.191292681986,1180.3077035827318
2023-06-05,Monday,Cloudy,227,,115.14,90.27,24.87,Breakfast,Complex,0.6485714285714286,48.7330468126826,5611.123010012275,1211.9908742314165
2023-06-06,Tuesday,Humid,253,,128.75,121.84,6.91,Breakfast,Complex,0.7228571428571429,39.421879001327646,5075.566921420935,272.40518389917406
2023-06-07,Wednesday,Humid,172,,95.48,85.22,10.26,Lunch,Medium,0.49142857142857144,61.115522952650835,5835.310131519102,627.0452654941976
2023-06-08,Thursday,Humid,225,Sports Day,120.46,105.28,15.18,Dinner,Complex,0.6428571428571429,94.57468775847283,11392.466887385637,1435.6437601736177
2023-06-09,Friday,Humid,245,Seminar,114.5,88.18,26.33,Breakfast,Complex,0.7,36.89600138435752,4224.592158508935,971.4717164501334
2023-06-10,Saturday,Sunny,395,Fest,226.24,210.89,15.34,Dinner,Simple,1.1285714285714286,96.8063039335155,21901.458201918547,1485.0087023401277
2023-06-11,Sunday,Humid,267,Fest,106.94,97.01,9.92,Lunch,Complex,0.7628571428571429,66.31759204020979,7092.003292780035,657.8705130388811
2023-06-12,Monday,Rainy,374,Fest,154.08,145.64,8.45,Lunch,Medium,1.0685714285714285,84.95288508657863,13089.540534140036,717.8518789815894
2023-06-13,Tuesday,Sunny,254,Fest,151.52,141.5,10.02,Dinner,Simple,0.7257142857142858,77.65046270568263,11765.598109165032,778.0576363109399
2023-06-14,Wednesday,Cloudy,359,Seminar,159.06,122.25,36.82,Breakfast,Medium,1.0257142857142858,47.774912846232276,7599.077637321706,1759.0722909982724
2023-06-15,Thursday,Sunny,255,Fest,151.33,120.22,31.11,Dinner,Medium,0.7285714285714285,91.2332915328538,13806.334007666766,2838.2676995870816
2023-06-16,Friday,Rainy,343,Seminar,170.6,155.03,15.57,Lunch,Complex,0.98,89.86213242609111,15330.479791891143,1399.1534018742386
2023-06-17,Saturday,Cloudy,258,Sports Day,133.11,121.86,11.25,Dinner,Complex,0.7371428571428571,75.01170958682525,9984.808663102309,843.881732851784
2023-06-18,Sunday,Rainy,367,Fest,185.13,139.11,46.02,Lunch,Simple,1.0485714285714285,68.5317315090199,12687.279454264855,3153.8302840450965
2023-06-19,Monday,Rainy,279,Sports Day,113.49,104.11,9.38,Dinner,Complex,0.7971428571428572,98.6063990632565,11190.84022968898,924.9280232133461
2023-06-20,Tuesday,Rainy,353,Fest,170.32,155.45,14.87,Dinner,Complex,1.0085714285714287,100.67264002694488,17146.56404938925,1497.0021572006701
2023-06-21,Wednesday,Cloudy,414,Sports Day,244.45,214.13,30.32,Dinner,Complex,1.1828571428571428,95.9603682304602,23457.512013935997,2909.5183647475533
2023-06-22,Thursday,Sunny,336,Sports Day,173.29,147.74,25.55,Lunch,Complex,0.96,76.66160195108988,13284.689002104364,1958.7039298503464
2023-06-23,Friday,Sunny,219,,87.78,81.09,6.69,Breakfast,Medium,0.6257142857142857,42.92498253185436,3767.9549666461758,287.1681331381057
2023-06-24,Saturday,Cloudy,289,,172.53,133.05,39.48,Dinner,Simple,0.8257142857142857,78.04558347107815,13465.204516265112,3081.239635438165
2023-06-25,Sunday,Humid,273,,118.43,94.07,24.36,Lunch,Simple,0.78,68.50033557208157,8112.494741801621,1668.668174535907
2023-06-26,Monday,Humid,334,Sports Day,181.93,148.69,33.25,Dinner,Simple,0.9542857142857143,76.31274221581893,13883.577191323939,2537.398678675979
2023-06-27,Tuesday,Sunny,235,Fest,108.12,101.17,6.95,Dinner,Simple,0.6714285714285714,84.85589567928152,9174.619440843919,589.7484749710065
2023-06-28,Wednesday,Cloudy,348,Sports Day,205.43,162.99,42.44,Lunch,Complex,0.9942857142857143,73.41423727437633,15081.48676327513,3115.7002299245314
2023-06-29,Thursday,Cloudy,257,Sports Day,109.41,103.2,6.2,Lunch,Medium,0.7342857142857143,71.46338090459116,7818.808504771318,443.0729616084652
2023-06-30,Friday,Cloudy,290,Seminar,147.65,132.5,15.15,Lunch,Medium,0.8285714285714286,89.81321060842632,13260.920546334146,1360.6701407176588
2023-07-01,Saturday,Rainy,299,Fest,164.77,129.07,35.7,Breakfast,Medium,0.8542857142857143,35.65276601236621,5874.50625585758,1272.8037466414737
2023-07-02,Sunday,Rainy,325,Sports Day,190.54,152.36,38.19,Breakfast,Simple,0.9285714285714286,48.98761619170429,9334.100389167335,1870.8370623611868
2023-07-03,Monday,Sunny,358,Fest,147.04,137.76,9.28,Lunch,Simple,1.022857142857143,77.93316803767527,11459.293028259772,723.2197993896265
2023-07-04,Tuesday,Rainy,345,Fest,198.06,182.04,16.02,Lunch,Simple,0.9857142857142858,60.18937764058053,11921.10813549338,964.2338298021001
2023-07-05,Wednesday,Cloudy,277,Seminar,120.55,109.69,10.86,Lunch,Simple,0.7914285714285715,72.91516235098965,8789.922821411801,791.8586631317476
2023-07-06,Thursday,Sunny,267,Seminar,153.4,144.35,9.05,Dinner,Simple,0.7628571428571429,76.08063065862571,11670.768743033184,688.5297074605627
2023-07-07,Friday,Cloudy,212,Fest,101.11,90.89,10.22,Dinner,Simple,0.6057142857142858,78.43812736143708,7930.879057514903,801.637661633887
2023-07-08,Saturday,Humid,311,,137.62,129.03,8.59,Lunch,Complex,0.8885714285714286,77.19354935927262,10623.376262823098,663.0925889961518
2023-07-09,Sunday,Cloudy,192,Seminar,105.83,99.49,6.34,Breakfast,Complex,0.5485714285714286,42.234330274088165,4469.65917290675,267.765653937719
2023-07-10,Monday,Sunny,289,,138.78,105.82,32.96,Lunch,Simple,0.8257142857142857,69.44763257764522,9637.942449125605,2288.9939697591867
2023-07-11,Tuesday,Sunny,411,Seminar,233.02,183.72,49.3,Breakfast,Medium,1.1742857142857144,46.68732977970646,10879.0815852672,2301.6853581395285
2023-07-12,Wednesday,Sunny,310,Sports Day,137.48,127.52,9.96,Breakfast,Medium,0.8857142857142857,35.15444287134683,4833.032805952762,350.13825099861447
2023-07-13,Thursday,Humid,339,Fest,149.94,141.56,8.38,Lunch,Simple,0.9685714285714285,84.99678259921109,12744.417582925711,712.273038181389
2023-07-14,Friday,Cloudy,218,Sports Day,96.04,79.18,16.86,Dinner,Medium,0.6228571428571429,75.14319017059417,7216.751983983864,1266.9141862762176
2023-07-15,Saturday,Humid,330,Sports Day,158.04,139.6,18.44,Lunch,Medium,0.9428571428571428,66.61229166220639,10527.406574295097,1228.3306582510859
2023-07-16,Sunday,Cloudy,365,Fest,184.35,147.48,36.88,Lunch,Medium,1.042857142857143,79.13412402453679,14588.375763923357,2918.4664940249168
2023-07-17,Monday,Sunny,350,Sports Day,153.49,134.62,18.87,Dinner,Simple,1.0,88.31640865688965,13555.685564745992,1666.5306313555077
2023-07-18,Tuesday,Sunny,177,,77.26,61.79,15.48,Dinner,Medium,0.5057142857142857,72.47644447084713,5599.530099817649,1121.9353604087134
2023-07-19,Wednesday,Cloudy,253,Sports Day,114.77,106.73,8.04,Lunch,Medium,0.7228571428571429,69.40483638868756,7965.593072329671,558.0148845650479
2023-07-20,Thursday,Cloudy,332,,186.95,145.06,41.89,Dinner,Complex,0.9485714285714286,107.35696174051876,20070.38399738998,4497.183127310331
2023-07-21,Friday,Rainy,290,,117.07,110.92,6.15,Breakfast,Complex,0.8285714285714286,48.1314700216623,5634.751195436005,296.00854063322316
2023-07-22,Saturday,Cloudy,296,Fest,152.61,130.04,22.57,Dinner,Simple,0.8457142857142858,74.79974067693853,11415.188424707589,1688.2301470785026
2023-07-23,Sunday,Humid,231,Seminar,134.74,103.67,31.07,Dinner,Medium,0.66,82.40259499724955,11102.925649929406,2560.2486265645434
2023-07-24,Monday,Sunny,217,Sports Day,93.24,85.13,8.12,Breakfast,Simple,0.62,44.16109176182066,4117.580195872158,358.5880651059837
2023-07-25,Tuesday,Humid,333,Sports Day,162.04,151.69,10.35,Dinner,Medium,0.9514285714285714,77.92462926816317,12626.90692661316,806.5199129254888
2023-07-26,Wednesday,Humid,182,,96.33,80.41,15.92,Breakfast,Simple,0.52,40.66141122502614,3916.913743306768,647.3296667024161
2023-07-27,Thursday,Rainy,257,Seminar,131.91,111.62,20.29,Dinner,Simple,0.7342857142857143,103.55587772570433,13660.055830797659,2101.1487590545407
2023-07-28,Friday,Cloudy,362,Seminar,186.2,156.31,29.89,Dinner,Simple,1.0342857142857143,96.73791438575705,18012.59965862796,2891.496260990278
2023-07-29,Saturday,Rainy,333,,184.33,149.18,35.15,Lunch,Medium,0.9514285714285714,71.97822471884398,13267.746162424512,2530.0345988673657
2023-07-30,Sunday,Sunny,309,Sports Day,149.4,114.77,34.63,Lunch,Medium,0.8828571428571429,81.2782250017139,12142.966815256059,2814.6649318093528
2023-07-31,Monday,Sunny,330,,171.84,148.57,23.27,Lunch,Complex,0.9428571428571428,60.13129987590609,10332.962570675701,1399.2553481123346
2023-08-01,Tuesday,Rainy,253,Sports Day,150.91,117.48,33.43,Breakfast,Complex,0.7228571428571429,46.96104709485626,7086.891617084759,1569.9078043810448
2023-08-02,Wednesday,Sunny,225,Sports Day,109.21,100.33,8.88,Breakfast,Simple,0.6428571428571429,43.93374730487724,4798.004543165643,390.1316760673099
2023-08-03,Thursday,Rainy,371,Seminar,218.47,187.35,31.12,Dinner,Simple,1.06,83.42820355207843,18226.559630022573,2596.2856945406807
2023-08-04,Friday,Sunny,282,Sports Day,130.98,105.07,25.91,Lunch,Simple,0.8057142857142857,76.92495762981059,10075.63095035259,1993.1256521883925
2023-08-05,Saturday,Humid,245,,144.8,110.47,34.33,Breakfast,Simple,0.7,40.77622936201529,5904.3980116198145,1399.8479539979849
2023-08-06,Sunday,Rainy,248,Fest,124.51,110.37,14.14,Dinner,Complex,0.7085714285714285,72.61417852775705,9041.19136849103,1026.7644843824846
2023-08-07,Monday,Sunny,367,Fest,147.21,131.12,16.09,Dinner,Complex,1.0485714285714285,84.3831996018479,12422.05081338803,1357.7256815937328
2023-08-08,Tuesday,Humid,322,Sports Day,131.7,124.82,6.87,Dinner,Complex,0.92,70.798257513832,9324.130514571674,486.38402912002584
2023-08-09,Wednesday,Humid,372,Sports Day,215.79,164.61,51.18,Dinner,Medium,1.062857142857143,70.80436510356786,15278.873945698908,3623.767406000603
2023-08-10,Thursday,Humid,250,Seminar,118.78,94.01,24.77,Lunch,Simple,0.7142857142857143,66.06791613808,7847.547078881142,1636.5022827402415
2023-08-11,Friday,Sunny,320,Sports Day,186.7,145.03,41.66,Lunch,Medium,0.9142857142857143,77.32565634158672,14436.70003897424,3221.3868431905025
2023-08-12,Saturday,Cloudy,263,Fest,120.25,103.46,16.79,Lunch,Complex,0.7514285714285714,69.12414742175177,8312.17872746565,1160.5944352112122
2023-08-13,Sunday,Cloudy,216,,87.07,66.33,20.74,Breakfast,Medium,0.6171428571428571,38.93655424352913,3390.205777984081,807.5441350107941
2023-08-14,Monday,Rainy,244,Fest,130.18,102.01,28.17,Lunch,Complex,0.6971428571428572,88.51976913640058,11523.50354617663,2493.6018965724047
2023-08-15,Tuesday,Humid,331,Sports Day,133.5,103.64,29.86,Dinner,Complex,0.9457142857142857,86.92908209628227,11605.032459853683,2595.702391394989
2023-08-16,Wednesday,Cloudy,264,,134.75,107.29,27.46,Breakfast,Complex,0.7542857142857143,38.186476723751014,5145.627738525449,1048.600650834203
2023-08-17,Thursday,Humid,310,Seminar,131.38,103.58,27.8,Breakfast,Medium,0.8857142857142857,35.30238605138435,4638.027479430876,981.406332228485
2023-08-18,Friday,Sunny,369,Fest,183.65,150.61,33.04,Dinner,Simple,1.0542857142857143,85.46090487826969,15694.89518089423,2823.6282971780306
2023-08-19,Saturday,Cloudy,324,,156.77,122.51,34.26,Lunch,Simple,0.9257142857142857,63.94358840539582,10024.436354313904,2190.7073387688606
2023-08-20,Sunday,Rainy,356,Seminar,144.07,116.93,27.14,Breakfast,Medium,1.0171428571428571,43.00674940149618,6195.982386273554,1167.2031787566063
2023-08-21,Monday,Sunny,300,Seminar,127.85,117.75,10.1,Lunch,Complex,0.8571428571428571,73.47935867032466,9394.336006001007,742.141522570279
2023-08-22,Tuesday,Humid,387,Seminar,218.85,179.14,39.7,Breakfast,Medium,1.1057142857142856,35.76785085724111,7827.794160107216,1419.983679032472
2023-08-23,Wednesday,Humid,268,Sports Day,126.54,110.61,15.93,Dinner,Medium,0.7657142857142857,82.65392072310772,10459.02712830205,1316.676957119106
2023-08-24,Thursday,Rainy,190,Sports Day,107.17,85.84,21.33,Dinner,Complex,0.5428571428571428,77.97736432408861,8356.834134612576,1663.25718103281
2023-08-25,Friday,Cloudy,399,Seminar,177.22,141.45,35.77,Dinner,Complex,1.14,87.01373383157474,15420.573909631676,3112.4812591554287
2023-08-26,Saturday,Sunny,228,,104.82,95.9,8.92,Dinner,Simple,0.6514285714285715,101.37814997623627,10626.457680509086,904.2930977880276
2023-08-27,Sunday,Cloudy,195,Sports Day,90.63,72.81,17.82,Lunch,Medium,0.5571428571428572,88.7498531314965,8043.399189307527,1581.5223828032676
2023-08-28,Monday,Rainy,319,,132.79,122.22,10.58,Dinner,Complex,0.9114285714285715,88.80174110566628,11791.983201421424,939.5224208979492
2023-08-29,Tuesday,Humid,308,Fest,157.33,132.13,25.2,Lunch,Medium,0.88,68.27320467203008,10741.423291050492,1720.484757735158
2023-08-30,Wednesday,Humid,333,,190.15,178.78,11.37,Breakfast,Complex,0.9514285714285714,39.486478022673076,7508.353796011285,448.96125511779286
2023-08-31,Thursday,Rainy,252,,131.3,116.48,14.82,Lunch,Medium,0.72,71.41988164967285,9377.430460602045,1058.4426460481516
2023-09-01,Friday,Cloudy,258,Seminar,108.37,87.38,20.99,Lunch,Complex,0.7371428571428571,82.79589441766768,8972.591078042647,1737.8858238268444
2023-09-02,Saturday,Cloudy,247,Fest,129.38,115.05,14.33,Lunch,Complex,0.7057142857142857,62.04856730538305,8027.843637970459,889.1559694861392
2023-09-03,Sunday,Humid,238,Sports Day,109.23,94.01,15.22,Lunch,Complex,0.68,76.3314230366781,8337.68133829635,1161.7642586182408
2023-09-04,Monday,Humid,287,Fest,129.44,109.18,20.25,Dinner,Simple,0.82,101.3676409843106,13121.027449009163,2052.6947299322896
2023-09-05,Tuesday,Cloudy,346,Fest,170.7,159.63,11.06,Breakfast,Simple,0.9885714285714285,38.829409393523036,6628.180183474382,429.4532678923648
2023-09-06,Wednesday,Sunny,259,Seminar,149.84,137.34,12.51,Breakfast,Simple,0.74,45.76493424508508,6857.417747283548,572.5193274060143
2023-09-07,Thursday,Humid,365,Sports Day,215.43,184.2,31.22,Lunch,Complex,1.042857142857143,78.20158452041596,16846.967353233213,2441.4534687273863
2023-09-08,Friday,Cloudy,301,,136.02,109.63,26.39,Dinner,Medium,0.86,97.99352495904846,13329.079264929773,2586.0491236692887
2023-09-09,Saturday,Cloudy,347,Seminar,202.68,162.92,39.76,Dinner,Medium,0.9914285714285714,72.54039816613967,14702.487900313188,2884.206231085713
2023-09-10,Sunday,Sunny,388,Seminar,171.21,145.46,25.75,Dinner,Medium,1.1085714285714285,95.38711928448207,16331.228692696175,2456.2183215754135
